,dhlabid,urn,title,authors,oaiid,sesamid,isbn10,city,timestamp,year,publisher,langs,subjects,ddc,genres,literaryform,doctype,ocr_creator,ocr_timestamp,first_name,gender
6947,100054464,URN:NBN:no-nb_digibok_2011090108198,Abel Ek : en statsråds død : kriminalroman,"Angell-Jacobsen , Rune",oai:nb.bibsys.no:990703293384702202,a0c1c5f6bf2c7d969cc9b35ea5191dcf,,Oslo,20070101,2007,Juritzen forl.,nob,krim,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Rune,male
6949,100377892,URN:NBN:no-nb_digibok_2018082348051,Brostein,"Brekke , Toril",oai:nb.bibsys.no:991505682234702202,6dc8f58deaa0e766e6eea03b82d7b893,,Oslo,20150101,2015,Aschehoug,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Toril,female
6951,100007368,URN:NBN:no-nb_digibok_2009010704076,Svart hjerte,"Holst-Hammerfeldt , Helene",oai:nb.bibsys.no:990220180424702202,b4fbb83d21e0bf4ce4f5541d9da16dc9,8202214173,[Oslo],20020101,2002,Cappelen,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Helene,female
6952,100435771,URN:NBN:no-nb_digibok_2021020207501,Sjalusiens kvaler,"Normann , Natalie",oai:nb.bibsys.no:999919870994502202,c529d24b739a8edbf2682ce39e50c1ca,,,20170101,2017,Bladkompaniet,nob,Sykehus / Sjukehus / Kvinner / Kvinner,839.823,novel / text,Skjønnlitteratur,digibok,nb,20060101,Natalie,female
6953,100117285,URN:NBN:no-nb_digibok_2012103006033,Frosne roser : noveller,"Nergård , Mette Elisabeth",oai:nb.bibsys.no:998621491694702202,903ab36ff4e9603ac143c28b2f7c653f,8202106664,[Oslo],19860101,1986,Cappelen,nob,skjønnlitteratur/voksen,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Mette,female
6954,100510437,URN:NBN:no-nb_digibok_2007111901063,Simon og eiketrærne. 1,"Fredriksson , Marianne",oai:nb.bibsys.no:999319248554702202,e577e2ecfce5180c36b3510de914f7b3,8274132521,Oslo,19930101,1993,Hilt & Hansteen,nob,,839.73,fiction,Skjønnlitteratur,digibok,nb,20060101,Marianne,female
6958,100547043,URN:NBN:no-nb_digibok_2011070508018,Det kommer en pike gående,"Hagerup , Inger",oai:nb.bibsys.no:990505998794702202,966ba3f2fc9a330838eda9230a12ee17,8203190219,Oslo,20050101,2005,Aschehoug,nob,Norsk litteratur,839.821 / 839.82092,biography,Faglitteratur,digibok,nb,20060101,Inger,female
6959,100011905,URN:NBN:no-nb_digibok_2010072008005,"""El Rubio""","Angell-Jacobsen , Rune",oai:nb.bibsys.no:999817167094702202,5a8d38ff19e87a5f6460d44ea337d58e,8250939778,Oslo,19980101,1998,Bladkompaniet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Rune,male
6962,100269763,URN:NBN:no-nb_digibok_2015110608070,"Byd lykken haanden, eller Da Johannes Mo løste rebusen","Falkberget , Johan",oai:nb.bibsys.no:998821632304702202,70fb13eb7a5c1563a1cd39e1e336512f,,Drammen,19880101,1988,Centraltrykkeriet,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Johan,male
6969,100016415,URN:NBN:no-nb_digibok_2010091508145,Frihetens øyeblikk ; Kruttårnet ; Stillheten : en romantrilogi,"Bjørneboe , Jens",oai:nb.bibsys.no:999115880864702202,23f97d4d96c69d325e307b2d38e12146,8252510523,[Stabekk],19900101,1990,Den norske bokklubben,nob,norske / romaner / 1960-tallet / 1970-tallet,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Jens,male
6970,100421268,URN:NBN:no-nb_digibok_2020092207745,Damaskusporten,"Kjøllesdal , Helge",oai:nb.bibsys.no:999919866496602202,6ab3497ba3701f927fe25c592d3dfd8b,,[Oslo],20160101,2016,Kolofon,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Helge,male
6971,100064530,URN:NBN:no-nb_digibok_2011120206013,Hemmeligheter,"Gundersby , Asle",oai:nb.bibsys.no:990420965374702202,c03704819d76cd009224ee472a53e04b,8281120088,Rasta,20040101,2004,Forl. norske bøker,nob,,839.823,novel,Skjønnlitteratur,digibok,nb,20060101,Asle,male
6973,100402812,URN:NBN:no-nb_digibok_2009020204018,Hjem til et helvete,"Holst-Hammerfeldt , Helene",oai:nb.bibsys.no:990215299064702202,e3835fe7df25360c2d8deba7969d19a5,8202214165,[Oslo],20020101,2002,Cappelen,nob,,839.823,fiction,Skjønnlitteratur,digibok,nb,20060101,Helene,female
